name;age;position;minutes_played;nationality;goals;assists;conceded;overall;attack;defense;club
Philippe Sandler;22;Defender;0;Netherlands;0;0;0;30;50;50;Manchester City
Dominic Solanke;22;Forward;341;England;0;1;4;29;52;33;AFC Bournemouth
Lys Mousset;23;Forward;345;France;1;0;13;29;52;32;AFC Bournemouth
Matěj Vydra;27;Forward;311;Czech Republic;1;1;4;29;53;33;Burnley
Cesc Fabregas;32;Midfielder;175;Spain;0;0;2;29;50;42;Chelsea
Joel Coleman;24;Goalkeeper;90;England;0;0;1;29;50;46;Huddersfield Town
John Ruddy;33;Goalkeeper;90;England;0;0;0;29;50;46;Wolverhampton Wanderers
Fraser Forster;31;Goalkeeper;90;England;0;0;3;29;50;45;Southampton
Julián Speroni;40;Goalkeeper;90;Argentina;0;0;3;29;50;45;Crystal Palace
Shinji Okazaki;33;Forward;269;Japan;0;1;1;28;52;33;Leicester City
Steven Davis;34;Midfielder;96;Northern Ireland;0;1;3;28;51;40;Southampton
Callum Slattery;20;Midfielder;110;England;0;0;0;28;50;41;Southampton
Mason Greenwood;18;Midfielder;115;England;0;0;2;28;50;41;Manchester United
Neeskens Kebano;27;Midfielder;103;Congo DR;0;0;1;28;50;41;Fulham
Daniel Williams;30;Midfielder;93;USA;0;0;1;28;50;41;Huddersfield Town
Kayne Ramsey;19;Midfielder;90;England;0;0;3;28;50;40;Southampton
Adrien Sebastian Perruchet Silva;30;Midfielder;88;Portugal;0;0;1;28;50;41;Leicester City
Ibrahima Cissé;25;Midfielder;87;Belgium;0;0;3;28;50;40;Fulham
Adrián;32;Goalkeeper;0;Spain;0;0;0;28;50;45;West Ham United
Alex Smithies;29;Goalkeeper;0;England;0;0;0;28;50;45;Cardiff City
Alfie Whiteman;21;Goalkeeper;0;England;0;0;0;28;50;45;Tottenham Hotspur
Brian Murphy;36;Goalkeeper;0;Republic of Ireland;0;0;0;28;50;45;Cardiff City
Danny Ward;26;Goalkeeper;0;Wales;0;0;0;28;50;45;Leicester City
Emiliano Martínez;27;Goalkeeper;0;Argentina;0;0;0;28;50;45;Arsenal
Freddie Woodman;22;Goalkeeper;0;England;0;0;0;28;50;45;Newcastle United
Heurelho da Silva Gomes;38;Goalkeeper;0;Brazil;0;0;0;28;50;45;Watford
Jason Steele;29;Goalkeeper;0;England;0;0;0;28;50;45;Brighton & Hove Albion
Joe Daniel Tupper;21;Goalkeeper;0;England;0;0;0;28;50;45;Crystal Palace
Karl Darlow;29;Goalkeeper;0;England;0;0;0;28;50;45;Newcastle United
Lee Grant;36;Goalkeeper;0;England;0;0;0;28;50;45;Manchester United
Alex Oxlade-Chamberlain;26;Midfielder;19;England;0;0;0;27;50;40;Liverpool
Maarten Stekelenburg;37;Goalkeeper;0;Netherlands;0;0;0;28;50;45;Everton
Ryan Schofield;19;Goalkeeper;0;England;0;0;0;28;50;45;Huddersfield Town
Sergio Romero;32;Goalkeeper;0;Argentina;0;0;0;28;50;45;Manchester United
Curtis Jones;18;Midfielder;0;England;0;0;0;27;50;40;Liverpool
Will Norris;26;Goalkeeper;0;England;0;0;0;28;50;45;Wolverhampton Wanderers
Arijanet Muric;20;Goalkeeper;0;Montenegro;0;0;0;28;50;45;Manchester City
Claudio Bravo;36;Goalkeeper;0;Chile;0;0;0;28;50;45;Manchester City
Denis Suárez;25;Midfielder;67;Spain;0;0;0;27;50;40;Arsenal
Joseph Willock;20;Midfielder;64;England;0;0;0;27;50;40;Arsenal
Matty Daly;18;Midfielder;73;England;0;0;1;27;50;40;Huddersfield Town
Fousseni Diabaté;24;Midfielder;55;Mali;0;0;1;27;50;40;Leicester City
Abdelhamid Sabiri;22;Midfielder;49;Morocco;0;0;3;27;50;40;Huddersfield Town
Lazar Marković;25;Midfielder;44;Serbia;0;0;0;27;50;40;Fulham
Bakary Sako;31;Midfielder;25;Mali;0;0;0;27;50;40;Crystal Palace
Rafael Euclides Soares Camacho;19;Midfielder;0;Portugal;0;0;0;27;50;40;Liverpool
James McCarthy;28;Midfielder;14;Republic of Ireland;0;0;0;27;50;40;Everton
Luke Amos;22;Midfielder;2;England;0;0;0;27;50;40;Tottenham Hotspur
Conor Coventry;19;Midfielder;0;Republic of Ireland;0;0;0;27;50;40;West Ham United
Daniel Sturridge;30;Forward;496;England;2;1;3;33;55;36;Liverpool
Danny Drinkwater;29;Midfielder;0;England;0;0;0;27;50;40;Chelsea
Emile Smith Rowe;19;Midfielder;0;England;0;0;0;27;50;40;Arsenal
Ethan Ampadu;19;Midfielder;0;Wales;0;0;0;27;50;40;Chelsea
George Marsh;20;Midfielder;0;England;0;0;0;27;50;40;Tottenham Hotspur
Jayson Molumby;20;Midfielder;0;Republic of Ireland;0;0;0;27;50;40;Brighton & Hove Albion
Josh Benson;19;Midfielder;0;England;0;0;0;27;50;40;Burnley
Kelland Watts;20;Midfielder;0;England;0;0;0;27;50;40;Newcastle United
Kieran Dowell;22;Midfielder;0;England;0;0;0;27;50;40;Everton
Kyle Taylor;20;Midfielder;0;England;0;0;0;27;50;40;AFC Bournemouth
Luca de la Torre;21;Midfielder;0;USA;0;0;0;27;50;40;Fulham
Luke Dreher;20;Midfielder;0;England;0;0;0;27;50;40;Crystal Palace
Marc Pugh;32;Midfielder;0;England;0;0;0;27;50;40;AFC Bournemouth
Matt Butcher;22;Midfielder;0;England;0;0;0;27;50;40;AFC Bournemouth
Max Harrison Sanders;20;Midfielder;0;England;0;0;0;27;50;40;Brighton & Hove Albion
Nathan Holland;21;Midfielder;0;England;0;0;0;27;50;40;West Ham United
Nnamdi Ofoborh;19;Midfielder;0;England;0;0;0;27;50;40;AFC Bournemouth
Divock Origi;24;Forward;366;Belgium;3;1;2;31;55;34;Liverpool
Ryan Giles;19;Midfielder;0;England;0;0;0;27;50;40;Wolverhampton Wanderers
Sullay Kaikai;24;Midfielder;0;England;0;0;0;27;50;40;Crystal Palace
Emerson Hyndman;23;Midfielder;37;USA;0;0;2;27;50;40;AFC Bournemouth
Victor Moses;28;Midfielder;26;Nigeria;0;0;1;27;50;40;Chelsea
Angel Gomes;19;Midfielder;25;England;0;0;1;27;50;40;Manchester United
Alexander Sørloth;23;Forward;173;Norway;0;0;1;26;50;32;Crystal Palace
Danny Welbeck;28;Forward;147;England;1;1;2;26;52;31;Arsenal
Michael Obafemi;19;Forward;134;Republic of Ireland;1;1;2;26;52;31;Southampton
Leonardo Bonatini Lohner Maia;25;Forward;128;Brazil;0;1;0;26;51;31;Wolverhampton Wanderers
Loïc Damour;28;Midfielder;21;France;0;0;2;26;50;39;Cardiff City
Peter Crouch;38;Forward;86;England;0;0;0;25;50;31;Burnley
Connor Wickham;26;Forward;61;England;0;1;0;25;51;30;Crystal Palace
Edward Nketiah;20;Forward;62;England;1;0;2;25;51;30;Arsenal
Georges-Kevin N'Koudou Mbida;24;Forward;4;France;0;1;0;24;51;30;Tottenham Hotspur
Ramadan Sobhi;22;Forward;75;Egypt;0;0;1;24;50;30;Huddersfield Town
Aaron Rowe;19;Forward;69;England;0;0;1;24;50;30;Huddersfield Town
Ben Johnson;19;Forward;63;England;0;0;1;24;50;30;West Ham United
Rhys Healey;24;Forward;49;England;0;0;1;24;50;30;Cardiff City
Tahith Chong;19;Forward;36;Netherlands;0;0;1;24;50;30;Manchester United
Vincent Janssen;25;Forward;36;Netherlands;0;0;0;24;50;30;Tottenham Hotspur
Sam Gallagher;24;Forward;30;England;0;0;0;24;50;30;Southampton
Alexandre Nascimento Costa Silva;22;Forward;17;Portugal;0;0;0;24;50;30;West Ham United
Sam Surridge;21;Forward;11;England;0;0;0;24;50;30;AFC Bournemouth
Adalberto Peñaranda Maestre;22;Forward;0;Venezuela;0;0;0;24;50;30;Watford
Bright Enobakhare;21;Forward;0;England;0;0;0;24;50;30;Wolverhampton Wanderers
Callum Roberts;22;Forward;0;England;0;0;0;24;50;30;Newcastle United
Joe Powell;21;Forward;0;England;0;0;0;24;50;30;West Ham United
Jonathan Walters;36;Forward;0;Republic of Ireland;0;0;0;24;50;30;Burnley
Kazaiah Sterling;20;Forward;0;England;0;0;0;24;50;30;Tottenham Hotspur
Sandro Ramirez;24;Forward;0;Spain;0;0;0;24;50;30;Everton
Viktor Gyökeres;21;Forward;0;Sweden;0;0;0;24;50;30;Brighton & Hove Albion
Collin Quaner;28;Forward;37;Germany;0;0;2;24;50;30;Huddersfield Town
Gary Madine;29;Forward;32;England;0;0;2;24;50;30;Cardiff City
Stefano Okaka;30;Forward;22;Italy;0;0;1;24;50;30;Watford
Jermain Defoe;37;Forward;21;England;0;0;2;23;50;29;AFC Bournemouth
